cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_school,cnt_work,cnt_otherplace,cnt_leisure,cnt_transport,frequency_multi,duration_exact,duration_multi,phys_contact
60014,1,NA,65,91,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
9568,3,6,5,9,M,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,4+ hours,1
9569,3,67,65,69,F,FALSE,FALSE,FALSE,TRUE,NA,NA,At least once per week,NA,1-4 hours,1
9570,3,71,70,74,M,FALSE,FALSE,FALSE,TRUE,NA,NA,At least once per week,NA,1-4 hours,1
9571,3,80,75,101,M,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,1-4 hours,2
9572,4,27,25,29,F,TRUE,FALSE,FALSE,FALSE,NA,NA,At least once per month,NA,15-60 mins,1
9573,4,29,25,29,M,FALSE,FALSE,FALSE,TRUE,NA,NA,At least once per month,NA,5-15 mins,1
9574,4,12,10,14,F,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,15-60 mins,1
9575,4,27,25,29,F,TRUE,FALSE,FALSE,FALSE,NA,NA,At least once per month,NA,15-60 mins,1
9576,4,29,25,29,F,FALSE,FALSE,FALSE,TRUE,NA,NA,At least once per month,NA,5-15 mins,1
9577,4,12,10,14,F,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,15-60 mins,1
60015,4,NA,0,17,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
60016,4,NA,18,64,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
60017,4,NA,18,64,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
60018,4,NA,65,91,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA
9578,5,24,20,24,F,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,4+ hours,1
9579,6,17,15,19,M,TRUE,FALSE,FALSE,FALSE,NA,NA,Daily or almost daily,NA,4+ hours,1
