cont_id,part_id,cnt_location,cnt_age_group,cnt_ethnicity,cnt_ses
60014,1,NA,NA,NA,NA
9568,3,Home,5-9,Asian,Under 17
9569,3,Other,65-69,Asian,Retired
9570,3,Other,70-74,Asian,Retired
9571,3,Home,75+,Asian,Retired
9572,4,Home,25-29,Black,2
9573,4,Other,25-29,White,7
9574,4,Home,10-14,White,Under 17
9575,4,Home,25-29,White,2
9576,4,Other,25-29,White,4
9577,4,Home,10-14,White,Under 17
60015,4,NA,NA,NA,NA
60016,4,NA,NA,NA,NA
60017,4,NA,NA,NA,NA
60018,4,NA,NA,NA,NA
9578,5,Home,20-24,White,2
9579,6,Home,15-19,White,Student
9580,6,Home,55-59,White,5
9581,7,Home,35-39,White,5
60019,7,NA,NA,NA,NA
60020,7,NA,NA,NA,NA
9582,8,Home,30-34,White,Unknown
9583,8,Home,40-44,White,Unemployed
1,10,Other,40-44,Other,Unknown
9584,11,Home,50-54,White,7
9585,13,Home,55-59,White,Unemployed
9586,14,Other,50-54,White,6
9587,14,Home,60-64,White,2
9588,15,Other,35-39,White,7
9589,15,Other,50-54,White,Unknown
9590,15,Other,30-34,Black,3
60021,15,NA,NA,NA,NA
60022,15,NA,NA,NA,NA
60023,15,NA,NA,NA,NA
60024,15,NA,NA,NA,NA
60025,15,NA,NA,NA,NA
60026,15,NA,NA,NA,NA
60027,15,NA,NA,NA,NA
60028,15,NA,NA,NA,NA
60029,15,NA,NA,NA,NA
60030,15,NA,NA,NA,NA
60031,15,NA,NA,NA,NA
60032,15,NA,NA,NA,NA
60033,15,NA,NA,NA,NA
60034,15,NA,NA,NA,NA
60035,15,NA,NA,NA,NA
60036,15,NA,NA,NA,NA
60037,15,NA,NA,NA,NA
60038,15,NA,NA,NA,NA
60039,15,NA,NA,NA,NA
60040,15,NA,NA,NA,NA
9591,16,Work,40-44,White,Unemployed
9592,16,Home,0-4,White,Under 17
9593,17,Other,25-29,White,1
9594,17,Other,35-39,Mixed,7
9595,17,Other,60-64,White,3
9596,17,Other,40-44,Asian,6
9597,18,Other,50-54,White,6
9598,18,Home,75+,White,Retired
9599,19,Home,40-44,White,2
9600,19,Other,50-54,Asian,1
9601,20,Other,45-49,Asian,Student
9602,20,School,25-29,Mixed,Unknown
9603,20,Other,50-54,Other,Unknown
60041,20,NA,NA,NA,NA
60042,20,NA,NA,NA,NA
2,21,Home,70-74,White,2
3,21,Home,15-19,White,Under 17
4,21,Home,20-24,White,6
60043,22,NA,NA,NA,NA
60044,22,NA,NA,NA,NA
60045,22,NA,NA,NA,NA
9604,23,Other,25-29,Asian,4
9605,23,Home,25-29,White,1
9606,23,Other,40-44,Asian,1
60046,24,NA,NA,NA,NA
60047,24,NA,NA,NA,NA
60048,24,NA,NA,NA,NA
9607,25,Work,35-39,White,2
9608,25,Work,25-29,White,2
9609,25,Work,25-29,White,2
9610,25,Other,30-34,White,6
9611,25,Home,30-34,White,3
