hh_id,country,hh_size
hh_10,UK,6
hh_21,UK,4
hh_32,UK,2
hh_43,UK,3
hh_54,UK,4
hh_65,UK,2
hh_76,UK,3
hh_87,UK,4
hh_98,UK,1
hh_109,UK,2
hh_120,UK,6
hh_131,UK,4
hh_142,UK,3
hh_153,UK,2
hh_164,UK,4
hh_175,UK,2
hh_186,UK,3
hh_197,UK,4
hh_208,UK,2
hh_219,UK,1
hh_230,UK,3
hh_241,UK,2
hh_252,UK,2
hh_263,UK,3
hh_274,UK,1
hh_285,UK,2
hh_296,UK,1
hh_307,UK,1
hh_318,UK,1
hh_320,UK,3
hh_321,UK,3
hh_322,UK,1
hh_323,UK,2
hh_324,UK,1
hh_325,UK,6
hh_326,UK,3
hh_327,UK,3
hh_328,UK,4
hh_329,UK,4
hh_330,UK,2
hh_331,UK,6
hh_332,UK,4
hh_333,UK,3
hh_334,UK,2
hh_335,UK,2
hh_336,UK,3
hh_337,UK,2
hh_338,UK,4
hh_339,UK,3
hh_340,UK,1
hh_341,UK,2
hh_342,UK,2
hh_343,UK,2
hh_344,UK,4
hh_345,UK,2
hh_346,UK,5
hh_347,UK,1
hh_348,UK,2
hh_349,UK,3
hh_350,UK,2
hh_351,UK,5
hh_352,UK,2
hh_353,UK,2
hh_354,UK,2
hh_355,UK,6
hh_356,UK,6
hh_357,UK,2
hh_358,UK,3
hh_359,UK,1
hh_360,UK,2
hh_361,UK,2
hh_362,UK,3
hh_363,UK,2
hh_364,UK,3
hh_365,UK,1
hh_366,UK,6
hh_367,UK,2
hh_368,UK,3
hh_369,UK,1
hh_370,UK,3
hh_371,UK,2
hh_372,UK,3
hh_373,UK,4
hh_374,UK,2
hh_375,UK,3
hh_376,UK,3
hh_377,UK,3
hh_378,UK,3
hh_379,UK,4
hh_380,UK,3
hh_381,UK,1
hh_382,UK,2
hh_383,UK,5
hh_384,UK,1
hh_385,UK,3
hh_386,UK,3
hh_387,UK,1
hh_388,UK,1
hh_389,UK,2
hh_390,UK,4
hh_400,UK,3
hh_411,UK,2
hh_422,UK,3
hh_433,UK,2
hh_444,UK,6
hh_455,UK,2
hh_466,UK,2
hh_477,UK,2
hh_488,UK,2
hh_499,UK,5
hh_510,UK,3
hh_521,UK,6
hh_532,UK,1
hh_543,UK,1
hh_554,UK,1
hh_565,UK,2
hh_576,UK,3
hh_587,UK,2
hh_598,UK,3
hh_609,UK,1
hh_620,UK,6
hh_631,UK,3
hh_642,UK,4
hh_653,UK,3
hh_664,UK,1
hh_675,UK,3
hh_686,UK,2
hh_697,UK,5
hh_708,UK,2
hh_719,UK,1
hh_730,UK,3
hh_741,UK,2
hh_752,UK,2
hh_763,UK,4
hh_774,UK,2
hh_785,UK,2
hh_796,UK,5
hh_806,UK,2
hh_807,UK,3
hh_808,UK,2
hh_809,UK,2
hh_810,UK,2
hh_811,UK,4
hh_812,UK,2
hh_813,UK,4
hh_814,UK,3
hh_815,UK,3
hh_816,UK,3
hh_817,UK,5
hh_818,UK,4
hh_819,UK,1
hh_820,UK,3
hh_821,UK,1
hh_822,UK,4
hh_823,UK,1
hh_824,UK,3
hh_825,UK,3
hh_826,UK,4
hh_827,UK,1
hh_828,UK,4
hh_829,UK,3
hh_830,UK,1
hh_831,UK,1
hh_832,UK,4
hh_833,UK,1
hh_834,UK,2
hh_835,UK,5
hh_836,UK,2
hh_837,UK,2
hh_838,UK,6
hh_839,UK,2
hh_840,UK,2
hh_841,UK,4
hh_842,UK,2
hh_843,UK,2
hh_844,UK,4
hh_845,UK,1
hh_846,UK,1
hh_847,UK,2
hh_848,UK,4
hh_849,UK,4
hh_850,UK,1
hh_851,UK,5
hh_852,UK,3
hh_853,UK,1
hh_854,UK,5
hh_855,UK,3
hh_856,UK,1
hh_857,UK,4
hh_858,UK,4
hh_859,UK,4
hh_860,UK,4
hh_861,UK,1
hh_862,UK,4
hh_863,UK,2
hh_864,UK,2
hh_865,UK,2
hh_866,UK,2
hh_867,UK,2
hh_868,UK,2
hh_878,UK,2
hh_889,UK,1
hh_900,UK,3
hh_911,UK,2
hh_922,UK,2
hh_933,UK,5
hh_944,UK,3
hh_955,UK,3
hh_966,UK,4
hh_977,UK,1
hh_988,UK,1
hh_999,UK,3
hh_1010,UK,4
hh_1021,UK,2
hh_1032,UK,3
hh_1043,UK,2
hh_1054,UK,2
hh_1065,UK,1
hh_1076,UK,1
hh_1087,UK,4
hh_1098,UK,1
hh_1109,UK,1
hh_1120,UK,2
hh_1131,UK,1
hh_1142,UK,2
hh_1153,UK,5
hh_1164,UK,3
hh_1175,UK,2
hh_1186,UK,4
hh_1197,UK,3
hh_1208,UK,1
hh_1219,UK,4
hh_1230,UK,3
hh_1241,UK,1
hh_1252,UK,3
hh_1263,UK,5
hh_1274,UK,2
hh_1285,UK,3
hh_1296,UK,4
hh_1307,UK,1
hh_1318,UK,2
hh_1329,UK,2
hh_1340,UK,2
hh_1351,UK,1
hh_1362,UK,1
hh_1373,UK,1
hh_1384,UK,2
hh_1395,UK,3
hh_1406,UK,3
hh_1417,UK,1
hh_1425,UK,1
hh_1426,UK,3
hh_1427,UK,4
hh_1428,UK,3
hh_1429,UK,1
hh_1430,UK,3
hh_1431,UK,4
hh_1432,UK,1
hh_1433,UK,2
hh_1434,UK,2
hh_1435,UK,1
hh_1436,UK,3
hh_1437,UK,1
hh_1438,UK,1
hh_1439,UK,5
hh_1440,UK,2
hh_1441,UK,2
hh_1442,UK,4
hh_1443,UK,2
hh_1444,UK,2
hh_1445,UK,1
hh_1446,UK,2
hh_1447,UK,1
hh_1448,UK,1
hh_1449,UK,3
hh_1450,UK,2
hh_1451,UK,4
hh_1452,UK,4
hh_1453,UK,2
hh_1454,UK,2
hh_1455,UK,1
hh_1456,UK,1
hh_1457,UK,3
hh_1458,UK,5
hh_1459,UK,1
hh_1460,UK,5
hh_1461,UK,4
hh_1462,UK,6
hh_1463,UK,1
hh_1464,UK,3
hh_1465,UK,6
hh_1466,UK,1
hh_1467,UK,4
hh_1468,UK,1
hh_1469,UK,1
hh_1470,UK,1
hh_1471,UK,3
hh_1472,UK,4
hh_1473,UK,2
hh_1474,UK,1
hh_1484,UK,2
hh_1495,UK,4
hh_1506,UK,4
hh_1517,UK,3
hh_1528,UK,1
hh_1539,UK,3
hh_1550,UK,4
hh_1561,UK,3
hh_1572,UK,5
hh_1583,UK,2
hh_1594,UK,1
hh_1605,UK,5
hh_1616,UK,2
hh_1627,UK,4
hh_1638,UK,2
hh_1649,UK,3
hh_1660,UK,2
hh_1671,UK,3
hh_1682,UK,1
hh_1693,UK,3
hh_1704,UK,1
hh_1715,UK,4
hh_1726,UK,4
hh_1737,UK,2
hh_1748,UK,3
hh_1759,UK,2
hh_1770,UK,3
hh_1781,UK,1
hh_1792,UK,2
hh_1803,UK,3
hh_1814,UK,1
hh_1825,UK,1
hh_4671,UK,3
hh_4682,UK,3
hh_4693,UK,5
hh_4704,UK,4
hh_4715,UK,1
hh_4726,UK,1
hh_4737,UK,4
hh_4748,UK,2
hh_4759,UK,4
hh_4770,UK,2
hh_4781,UK,1
hh_4792,UK,3
hh_4803,UK,2
hh_4814,UK,3
hh_4825,UK,2
hh_4836,UK,4
hh_4847,UK,1
hh_4858,UK,2
hh_4869,UK,5
hh_4880,UK,2
hh_4891,UK,1
hh_4902,UK,3
hh_4913,UK,2
hh_4924,UK,1
hh_4935,UK,4
hh_4946,UK,2
hh_4957,UK,4
hh_4968,UK,3
hh_4976,UK,3
hh_4977,UK,2
hh_4978,UK,1
hh_4979,UK,3
hh_4980,UK,2
hh_4981,UK,2
hh_4982,UK,2
hh_4983,UK,4
hh_4984,UK,3
hh_4985,UK,5
hh_4986,UK,3
hh_4987,UK,2
hh_4988,UK,3
hh_4989,UK,4
hh_4990,UK,2
hh_4991,UK,2
hh_4992,UK,3
hh_4993,UK,3
hh_4994,UK,6
hh_4995,UK,2
hh_4996,UK,3
hh_4997,UK,1
hh_4998,UK,3
hh_4999,UK,4
hh_5000,UK,1
hh_5001,UK,1
hh_5002,UK,1
hh_5003,UK,1
hh_5004,UK,2
hh_5005,UK,1
hh_5006,UK,4
hh_5007,UK,5
hh_5008,UK,3
hh_5009,UK,1
hh_5010,UK,3
hh_5011,UK,2
hh_5012,UK,3
hh_5013,UK,4
hh_5014,UK,2
hh_5015,UK,2
hh_5016,UK,3
hh_5017,UK,3
hh_5018,UK,2
hh_5019,UK,3
hh_5020,UK,2
hh_5021,UK,2
hh_5022,UK,3
hh_5023,UK,2
hh_5024,UK,1
hh_5025,UK,2
hh_5026,UK,2
hh_5027,UK,2
hh_5028,UK,1
hh_5029,UK,2
hh_5030,UK,2
hh_5031,UK,1
hh_5032,UK,3
hh_5033,UK,3
hh_5034,UK,1
hh_5035,UK,4
hh_5036,UK,2
hh_5037,UK,4
hh_5038,UK,2
hh_5039,UK,3
hh_5040,UK,2
hh_5041,UK,1
hh_5042,UK,1
hh_5043,UK,1
hh_5044,UK,1
hh_5045,UK,4
hh_5046,UK,1
hh_5047,UK,1
hh_5057,UK,2
hh_5068,UK,1
hh_5079,UK,1
hh_5090,UK,2
hh_5101,UK,5
hh_5112,UK,4
hh_5123,UK,2
hh_5134,UK,2
hh_5145,UK,1
hh_5156,UK,1
hh_5167,UK,2
hh_5178,UK,2
hh_5189,UK,4
hh_5200,UK,2
hh_5211,UK,6
hh_5222,UK,2
hh_5233,UK,4
hh_5244,UK,2
hh_5255,UK,3
hh_5266,UK,2
hh_5277,UK,4
hh_5288,UK,4
hh_5299,UK,5
hh_5310,UK,5
hh_5321,UK,1
hh_5332,UK,3
hh_5336,UK,3
hh_5337,UK,2
hh_5338,UK,1
