hh_id,hh_age_1,hh_age_2,hh_age_3,hh_age_4,hh_age_5,hh_age_6,hh_age_7,hh_age_8
hh_10,29,27,26,20,1,NA,NA,NA
hh_21,72,20,16,NA,NA,NA,NA,NA
hh_32,80,NA,NA,NA,NA,NA,NA,NA
hh_43,50,20,NA,NA,NA,NA,NA,NA
hh_54,61,17,15,NA,NA,NA,NA,NA
hh_65,40,NA,NA,NA,NA,NA,NA,NA
hh_76,8,5,NA,NA,NA,NA,NA,NA
hh_87,40,3,NA,NA,NA,NA,NA,NA
hh_109,58,NA,NA,NA,NA,NA,NA,NA
hh_120,37,19,17,12,1,NA,NA,NA
hh_131,25,7,5,NA,NA,NA,NA,NA
hh_142,67,39,NA,NA,NA,NA,NA,NA
hh_153,76,NA,NA,NA,NA,NA,NA,NA
hh_164,61,61,30,NA,NA,NA,NA,NA
hh_175,68,NA,NA,NA,NA,NA,NA,NA
hh_186,54,52,NA,NA,NA,NA,NA,NA
hh_197,38,5,9,NA,NA,NA,NA,NA
hh_208,55,NA,NA,NA,NA,NA,NA,NA
hh_230,11,6,NA,NA,NA,NA,NA,NA
hh_241,56,NA,NA,NA,NA,NA,NA,NA
hh_252,63,NA,NA,NA,NA,NA,NA,NA
hh_263,29,36,NA,NA,NA,NA,NA,NA
hh_285,36,13,NA,NA,NA,NA,NA,NA
hh_320,40,45,NA,NA,NA,NA,NA,NA
hh_321,25,61,NA,NA,NA,NA,NA,NA
hh_323,75,75,NA,NA,NA,NA,NA,NA
hh_324,25,NA,NA,NA,NA,NA,NA,NA
hh_325,15,18,20,26,60,NA,NA,NA
hh_326,24,2,NA,NA,NA,NA,NA,NA
hh_327,44,26,NA,NA,NA,NA,NA,NA
hh_328,31,NA,28,NA,NA,NA,NA,NA
hh_329,32,6,1,NA,NA,NA,NA,NA
hh_330,45,NA,NA,NA,NA,NA,NA,NA
hh_331,29,67,13,7,4,NA,NA,NA
hh_332,32,8,5,NA,NA,NA,NA,NA
hh_333,2,7,NA,NA,NA,NA,NA,NA
hh_334,47,NA,NA,NA,NA,NA,NA,NA
hh_335,74,NA,NA,NA,NA,NA,NA,NA
hh_336,28,6,NA,NA,NA,NA,NA,NA
hh_337,41,NA,NA,NA,NA,NA,NA,NA
hh_338,38,11,8,NA,NA,NA,NA,NA
hh_339,24,59,NA,NA,NA,NA,NA,NA
hh_341,60,NA,NA,NA,NA,NA,NA,NA
hh_342,60,NA,NA,NA,NA,NA,NA,NA
hh_343,37,NA,NA,NA,NA,NA,NA,NA
hh_344,32,10,5,NA,NA,NA,NA,NA
hh_345,66,NA,NA,NA,NA,NA,NA,NA
