part_id,hh_id,part_age_exact,part_age_est_min,part_age_est_max,part_gender
10,hh_10,56,NA,NA,F
21,hh_21,55,NA,NA,F
32,hh_32,81,NA,NA,F
43,hh_43,25,NA,NA,F
54,hh_54,61,NA,NA,F
65,hh_65,40,NA,NA,M
76,hh_76,51,NA,NA,M
87,hh_87,36,NA,NA,F
98,hh_98,70,NA,NA,M
109,hh_109,58,NA,NA,F
120,hh_120,37,NA,NA,F
131,hh_131,29,NA,NA,M
142,hh_142,67,NA,NA,F
153,hh_153,75,NA,NA,F
164,hh_164,30,NA,NA,F
175,hh_175,60,NA,NA,F
186,hh_186,54,NA,NA,F
197,hh_197,36,NA,NA,F
208,hh_208,55,NA,NA,F
219,hh_219,54,NA,NA,F
230,hh_230,40,NA,NA,F
241,hh_241,56,NA,NA,F
252,hh_252,63,NA,NA,M
263,hh_263,29,NA,NA,F
274,hh_274,36,NA,NA,F
285,hh_285,34,NA,NA,M
296,hh_296,30,NA,NA,M
307,hh_307,58,NA,NA,F
318,hh_318,57,NA,NA,F
320,hh_320,18,NA,NA,M
321,hh_321,61,NA,NA,F
322,hh_322,72,NA,NA,M
323,hh_323,33,NA,NA,M
324,hh_324,32,NA,NA,F
325,hh_325,59,NA,NA,M
326,hh_326,24,NA,NA,F
327,hh_327,48,NA,NA,M
328,hh_328,28,NA,NA,F
329,hh_329,33,NA,NA,F
330,hh_330,58,NA,NA,F
331,hh_331,33,NA,NA,M
332,hh_332,35,NA,NA,M
333,hh_333,30,NA,NA,F
334,hh_334,44,NA,NA,F
335,hh_335,74,NA,NA,M
336,hh_336,26,NA,NA,M
337,hh_337,46,NA,NA,M
338,hh_338,38,NA,NA,F
339,hh_339,62,NA,NA,M
340,hh_340,67,NA,NA,M
341,hh_341,63,NA,NA,M
342,hh_342,50,NA,NA,F
343,hh_343,42,NA,NA,M
344,hh_344,31,NA,NA,F
345,hh_345,67,NA,NA,F
346,hh_346,32,NA,NA,M
347,hh_347,62,NA,NA,M
348,hh_348,53,NA,NA,M
349,hh_349,42,NA,NA,F
350,hh_350,77,NA,NA,M
351,hh_351,31,NA,NA,M
352,hh_352,68,NA,NA,M
353,hh_353,53,NA,NA,M
354,hh_354,48,NA,NA,M
355,hh_355,63,NA,NA,F
356,hh_356,34,NA,NA,M
357,hh_357,29,NA,NA,F
358,hh_358,24,NA,NA,F
359,hh_359,69,NA,NA,M
360,hh_360,61,NA,NA,M
361,hh_361,47,NA,NA,F
362,hh_362,41,NA,NA,M
363,hh_363,48,NA,NA,F
364,hh_364,45,NA,NA,F
365,hh_365,42,NA,NA,M
366,hh_366,22,NA,NA,M
367,hh_367,24,NA,NA,F
368,hh_368,31,NA,NA,M
369,hh_369,82,NA,NA,M
370,hh_370,30,NA,NA,F
371,hh_371,69,NA,NA,M
372,hh_372,61,NA,NA,F
373,hh_373,30,NA,NA,F
374,hh_374,36,NA,NA,F
375,hh_375,72,NA,NA,M
376,hh_376,23,NA,NA,F
377,hh_377,25,NA,NA,F
378,hh_378,63,NA,NA,F
379,hh_379,48,NA,NA,F
380,hh_380,28,NA,NA,M
381,hh_381,90,NA,NA,F
382,hh_382,25,NA,NA,M
383,hh_383,48,NA,NA,M
384,hh_384,49,NA,NA,M
385,hh_385,71,NA,NA,F
386,hh_386,31,NA,NA,F
387,hh_387,67,NA,NA,F
388,hh_388,35,NA,NA,F
389,hh_389,35,NA,NA,M
390,hh_390,51,NA,NA,M
400,hh_400,42,NA,NA,F
411,hh_411,49,NA,NA,M
422,hh_422,41,NA,NA,F
433,hh_433,49,NA,NA,F
444,hh_444,36,NA,NA,F
455,hh_455,57,NA,NA,M
466,hh_466,68,NA,NA,F
477,hh_477,66,NA,NA,M
488,hh_488,34,NA,NA,F
499,hh_499,40,NA,NA,F
510,hh_510,26,NA,NA,M
521,hh_521,29,NA,NA,M
532,hh_532,45,NA,NA,F
543,hh_543,49,NA,NA,F
554,hh_554,70,NA,NA,M
565,hh_565,54,NA,NA,F
576,hh_576,19,NA,NA,F
587,hh_587,23,NA,NA,F
598,hh_598,52,NA,NA,F
609,hh_609,63,NA,NA,M
620,hh_620,47,NA,NA,M
631,hh_631,55,NA,NA,M
642,hh_642,28,NA,NA,M
653,hh_653,61,NA,NA,M
664,hh_664,65,NA,NA,F
675,hh_675,35,NA,NA,F
686,hh_686,65,NA,NA,F
697,hh_697,45,NA,NA,F
708,hh_708,45,NA,NA,M
719,hh_719,67,NA,NA,M
730,hh_730,58,NA,NA,F
741,hh_741,65,NA,NA,F
752,hh_752,77,NA,NA,M
763,hh_763,52,NA,NA,M
774,hh_774,60,NA,NA,M
785,hh_785,64,NA,NA,F
796,hh_796,47,NA,NA,F
806,hh_806,77,NA,NA,M
807,hh_807,76,NA,NA,M
808,hh_808,50,NA,NA,F
809,hh_809,73,NA,NA,M
810,hh_810,57,NA,NA,F
811,hh_811,65,NA,NA,F
812,hh_812,76,NA,NA,F
813,hh_813,34,NA,NA,F
814,hh_814,47,NA,NA,F
815,hh_815,63,NA,NA,M
816,hh_816,36,NA,NA,M
817,hh_817,40,NA,NA,F
818,hh_818,27,NA,NA,M
819,hh_819,41,NA,NA,F
820,hh_820,32,NA,NA,F
821,hh_821,65,NA,NA,M
822,hh_822,35,NA,NA,F
823,hh_823,25,NA,NA,M
824,hh_824,47,NA,NA,M
825,hh_825,52,NA,NA,F
826,hh_826,33,NA,NA,F
827,hh_827,59,NA,NA,F
828,hh_828,27,NA,NA,M
829,hh_829,32,NA,NA,F
830,hh_830,63,NA,NA,M
831,hh_831,74,NA,NA,M
832,hh_832,41,NA,NA,F
833,hh_833,71,NA,NA,M
834,hh_834,55,NA,NA,F
835,hh_835,36,NA,NA,M
836,hh_836,44,NA,NA,M
837,hh_837,32,NA,NA,F
838,hh_838,35,NA,NA,F
839,hh_839,68,NA,NA,M
840,hh_840,69,NA,NA,F
841,hh_841,40,NA,NA,M
842,hh_842,75,NA,NA,F
843,hh_843,62,NA,NA,F
844,hh_844,18,NA,NA,F
845,hh_845,81,NA,NA,M
846,hh_846,45,NA,NA,M
847,hh_847,64,NA,NA,F
848,hh_848,37,NA,NA,F
849,hh_849,23,NA,NA,M
850,hh_850,63,NA,NA,M
851,hh_851,18,NA,NA,F
852,hh_852,55,NA,NA,M
853,hh_853,70,NA,NA,F
854,hh_854,39,NA,NA,F
855,hh_855,36,NA,NA,M
856,hh_856,64,NA,NA,M
857,hh_857,48,NA,NA,M
858,hh_858,51,NA,NA,F
859,hh_859,44,NA,NA,F
860,hh_860,35,NA,NA,F
861,hh_861,72,NA,NA,F
862,hh_862,40,NA,NA,F
863,hh_863,65,NA,NA,F
864,hh_864,57,NA,NA,F
865,hh_865,65,NA,NA,F
866,hh_866,58,NA,NA,M
867,hh_867,66,NA,NA,F
868,hh_868,42,NA,NA,F
878,hh_878,69,NA,NA,F
889,hh_889,67,NA,NA,F
900,hh_900,34,NA,NA,F
911,hh_911,42,NA,NA,F
922,hh_922,55,NA,NA,M
933,hh_933,42,NA,NA,F
944,hh_944,18,NA,NA,F
955,hh_955,67,NA,NA,F
966,hh_966,56,NA,NA,M
977,hh_977,60,NA,NA,F
988,hh_988,74,NA,NA,F
