part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
10,UK,55-59,Adult,Other,Unknown,weekday,0,0,0,0,0,0,0,0,0,0
21,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
32,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
43,UK,25-29,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
54,UK,60-64,Adult,Black,2,weekday,0,0,0,0,0,0,0,0,0,0
65,UK,40-44,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
76,UK,50-54,Adult,White,5,weekday,6,0,0,0,0,0,0,2,4,0
87,UK,35-39,Adult,Black,Unemployed,weekday,1,0,0,0,0,0,0,0,1,0
98,UK,70-74,Adult,White,Retired,weekday,2,0,0,0,0,0,0,0,2,0
109,UK,55-59,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
120,UK,35-39,Adult,White,6,weekday,0,0,0,0,0,0,0,0,0,0
131,UK,25-29,Adult,Black,2,weekend,4,0,0,0,0,0,0,1,2,1
142,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
153,UK,75+,Adult,White,Retired,weekday,1,0,0,0,0,0,0,0,0,1
164,UK,30-34,Adult,White,3,weekend,2,0,0,0,0,0,0,0,2,0
175,UK,60-64,Adult,White,3,weekday,75,0,0,0,0,0,0,20,40,15
186,UK,50-54,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
197,UK,35-39,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
208,UK,55-59,Adult,Black,6,weekday,0,0,0,0,0,0,0,0,0,0
219,UK,50-54,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
230,UK,40-44,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
241,UK,55-59,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
252,UK,60-64,Adult,White,4,weekday,3,0,0,0,0,0,0,2,1,0
263,UK,25-29,Adult,White,6,weekend,1,0,0,0,0,0,0,0,1,0
274,UK,35-39,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
285,UK,30-34,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
296,UK,30-34,Adult,Black,2,weekday,2,0,0,0,0,0,0,0,2,0
307,UK,55-59,Adult,White,2,weekend,0,0,0,0,0,0,0,0,0,0
318,UK,55-59,Adult,White,3,weekday,16,0,0,0,0,0,0,16,0,0
320,UK,15-19,Adult,White,Unemployed,weekday,38,0,0,0,0,0,0,5,30,3
321,UK,60-64,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
322,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
323,UK,30-34,Adult,White,2,weekday,2,0,0,0,0,0,0,0,0,2
324,UK,30-34,Adult,Asian,2,weekend,20,0,0,0,0,0,0,0,20,0
325,UK,55-59,Adult,White,Unemployed,weekday,1,0,0,0,0,0,0,0,1,0
326,UK,20-24,Adult,White,1,weekday,2,0,0,0,0,0,0,1,1,0
327,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
328,UK,25-29,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
329,UK,30-34,Adult,White,6,weekday,0,0,0,0,0,0,0,0,0,0
330,UK,55-59,Adult,White,2,weekend,0,0,0,0,0,0,0,0,0,0
331,UK,30-34,Adult,White,1,weekday,14,0,0,0,0,0,0,0,12,2
