part_id,dayofweek
10,3
21,5
32,4
43,5
54,5
65,1
76,5
87,4
98,5
109,3
120,3
131,6
142,4
153,5
164,6
175,4
186,3
197,5
208,5
219,5
230,3
241,5
252,3
263,0
274,5
285,4
296,3
307,0
318,4
320,4
321,6
322,5
323,5
324,6
325,5
326,5
327,5
328,5
329,5
330,6
331,5
332,5
333,5
334,6
335,3
336,5
337,5
338,6
339,5
340,3
341,6
342,5
343,5
344,4
345,4
346,5
347,5
348,5
349,3
350,5
351,5
352,3
353,6
354,5
355,5
356,3
357,5
358,5
359,4
360,5
361,5
362,5
363,5
364,5
365,5
366,3
367,5
368,2
369,4
370,3
371,5
372,4
373,1
374,1
375,5
376,1
377,0
378,3
379,3
380,6
381,5
382,1
383,3
384,5
385,5
386,5
387,6
388,6
389,3
390,6
400,5
411,3
422,1
433,3
444,6
455,4
466,4
477,5
488,5
499,5
510,5
521,5
532,5
543,4
554,4
565,3
576,5
587,5
598,3
609,5
620,6
631,3
642,5
653,3
664,0
675,3
686,5
697,6
708,3
719,4
730,3
741,3
752,5
763,5
774,3
785,5
796,5
806,3
807,5
808,5
809,3
810,5
811,5
812,3
813,5
814,3
815,5
816,5
817,4
818,5
819,6
820,5
821,4
822,6
823,6
824,5
825,5
826,3
827,3
828,5
829,5
830,3
831,3
832,5
833,3
834,3
835,3
836,5
837,5
838,3
839,3
840,5
841,5
842,5
843,6
844,5
845,6
846,5
847,5
848,4
849,5
850,6
851,6
852,5
853,5
854,4
855,4
856,5
857,5
858,3
859,3
860,3
861,4
862,5
863,3
864,4
865,3
866,6
867,4
868,5
878,5
889,6
900,5
911,4
922,5
933,5
944,5
955,3
966,3
977,3
988,4
999,5
1010,5
1021,4
1032,5
1043,5
1054,5
1065,5
1076,5
1087,3
1098,3
1109,3
1120,5
1131,3
1142,5
1153,5
1164,5
1175,5
1186,3
1197,3
1208,1
1219,5
1230,3
1241,5
1252,5
1263,5
1274,6
1285,4
1296,6
1307,4
1318,3
1329,0
1340,3
